slug,name,originalLocation,founded,headquarters,parentCompany,Locations,areasServed,type,service
port-of-subs,Port of Subs,"Sparks, Nevada",1972,"Reno, Nevada",,140,,Sandwiches,Fast Food
potbelly-sandwich-shop,Potbelly Sandwich Shop,"Chicago, Illinois",1977,"Chicago, Illinois",,443,,Sandwiches,Fast Food
pret-manger,Pret a Manger,"London, England, UK",1983,"London, England, UK",,81,,Sandwiches,Fast Food
primo-hoagies,Primo Hoagies,"South Philadelphia, Pennsylvania",1992,"Westville, New Jersey",,95,East,Sandwiches,Fast Food
quiznos,Quiznos,"Denver, Colorado",1981,"Denver, Colorado",,800,,Sandwiches,Fast Food
rax-roast-beef,Rax Roast Beef,"Springfield, Ohio",1967,"Ironton, Ohio",,8,,Sandwiches,Fast Food
runza,Runza,"Lincoln, Nebraska",1959,"Lincoln, Nebraska",,87,,Sandwiches,Fast Food
sandellas-flatbread-café,Sandella's Flatbread Café,"Redding, Connecticut",1994,"Redding, Connecticut",,130,,Sandwiches,Fast Food
schlotzskys,Schlotzsky's,"Austin, Texas",1971,"Atlanta, Georgia",,323,,Sandwiches,Fast Food
steak-escape,Steak Escape,"Columbus, Ohio",1982,"Columbus, Ohio",,100,Nationwide,Sandwiches,Fast Food
subway,Subway,"Bridgeport, Connecticut",1965,"Milford, Connecticut",,21147,Nationwide,Sandwiches,Fast Food
togos,Togo's,"San Jose, California",1971,"San Jose, California",,200,,Sandwiches,Fast Food
tubbys,Tubby's,"St. Clair Shores, Michigan",1968,"Clinton Township, Michigan",,,,Sandwiches,Fast Food
tudors-biscuit-world,Tudor's Biscuit World,"Charleston, West Virginia",1980,"Huntington, West Virginia",,,,Sandwiches,Fast Food
which-wich,Which Wich?,"Dallas, Texas",2003,"Dallas, Texas",,270,,Sandwiches,Fast Food
arthur-treachers-fish-chips,Arthur Treacher's Fish & Chips,"Columbus, Ohio",1969,"New York, New York",,1,"Cuyahoga Falls, Ohio",Seafood,Fast Food
captain-ds,Captain D's,"Nashville, Tennessee",1969,"Nashville, Tennessee",,536,,Seafood,Fast Food
long-john-silvers,Long John Silver's,"Lexington, Kentucky",1969,"Louisville, Kentucky",,641,,Seafood,Fast Food
applebees,Applebee's,"Decatur, Georgia",1980,"Glendale, California",,1578,Nationwide,American,Casual Dining
bakers-square,Bakers Square,"Nashville, Tennessee",1969,"Des Moines, Iowa",,46,Midwest,American,Casual Dining
bennigans,Bennigan's,"Atlanta, Georgia",1976,"Dallas, Texas",,29,"East, Midwest",American,Casual Dining
bjs-restaurant,BJ's Restaurant,"Santa Ana, California",1978,"Huntington Beach, California",,212,Nationwide,American,Casual Dining
black-bear-diner,Black Bear Diner,"Mount Shasta, California",1995,"Redding, California",,144,West,American,Casual Dining
bob-evans-restaurant,Bob Evans Restaurant,"Gallipolis, Ohio",1948,"New Albany, Ohio",,440,"Mid-Atlantic, Midwest",American,Casual Dining
boomarang-diner,Boomarang Diner,"Muskogee, Oklahoma",1998,"Shawnee, Oklahoma",,55,"Oklahoma, Arkansas",American,Casual Dining
cheddars-scratch-kitchen,Cheddar's Scratch Kitchen,"Arlington, Texas",1979,"Orlando, Florida",,175,,American,Casual Dining
cheesecake-factory,The Cheesecake Factory,"Beverly Hills, California",1978,"Calabasas, California",,207,Nationwide,American,Casual Dining
coopers-hawk-winery-restaurant,Cooper's Hawk Winery & Restaurant,"Orland Park, Illinois",2005,"Countryside, Illinois",,54,"Southeast, Midwest",American,Casual Dining
friendlys,Friendly's,"Springfield, Massachusetts",1935,"Wilbraham, Massachusetts",,129,East Coast,American,Casual Dining
golden-corral,Golden Corral,"Fayetteville, North Carolina",1973,"Raleigh, North Carolina",,392,Nationwide,American,Casual Dining
ground-round,Ground Round,"Freeport, Maine",1969,"Freeport, Maine",,17,,American,Casual Dining
hard-rock-cafe,Hard Rock Cafe,"London, England, U.K.",1971,"Davie, Florida",,35,Nationwide,American,Casual Dining
hooters,Hooters,"Clearwater, Florida",1983,"Atlanta, Georgia",,420,Nationwide,American,Casual Dining
houlihans,Houlihan's,"Kansas City, Missouri",1972,"Leawood, Kansas",,84,Nationwide,American,Casual Dining
houstons-restaurant,Houston's Restaurant,"Dallas, Texas",1977,"Beverly Hills, California",,51,,American,Casual Dining
huddle-house,Huddle House,"Decatur, Georgia",1964,"Atlanta, Georgia",,305,Southeast,American,Casual Dining
j-alexanders,J. Alexander's,"Nashville, Tennessee",1991,"Nashville, Tennessee",,44,,American,Casual Dining
lazy-dog-restaurant-bar,Lazy Dog Restaurant & Bar,"Huntington Beach, California",2003,,,40,"West, Midwest",American,Casual Dining
lubys,Luby's,"San Antonio, Texas",1947,"Houston, Texas",,83,"Texas, Mississippi",American,Casual Dining
metro-diner,Metro Diner,"Jacksonville, Florida",1992,"Tampa, Florida",,57,,American,Casual Dining
ninety-nine-restaurant-pub,Ninety Nine Restaurant & Pub,"Boston, Massachusetts",1952,,,103,,American,Casual Dining
ocharleys,O'Charley's,"Nashville, Tennessee",1971,"Nashville, Tennessee",,156,"Southeast, Midwest",American,Casual Dining
rainforest-cafe,Rainforest Cafe,"Bloomington, Minnesota",1994,"Houston, Texas",,24,Nationwide,American,Casual Dining
ruby-tuesday,Ruby Tuesday,"Knoxville, Tennessee",1972,"Maryville, Tennessee",,206,"East, Hawaii",American,Casual Dining
rubys-diner,Ruby's Diner,"Newport Beach, California",1982,"Irvine, California",,32,"West, Texas, Mid-Atlantic",American,Casual Dining
rusty-bucket-restaurant-tavern,Rusty Bucket Restaurant & Tavern,"Dublin, Ohio",2002,"Columbus, Ohio",,23,"Southeast, Midwest",American,Casual Dining
seasons-52,Seasons 52,"Orlando, Florida",2003,"Orlando, Florida",,44,,American,Casual Dining
sharis-cafe-pies,Shari's Cafe & Pies,"Hermiston, Oregon",1978,"Beaverton, Oregon",,95,West,American,Casual Dining
shoneys,Shoney's,"Charleston, West Virginia",1947,"Nashville, Tennessee",,103,"South, Mid-Atlantic, Midwest",American,Casual Dining
teds-montana-grill,Ted's Montana Grill,"Columbus, Ohio",2002,"Atlanta, Georgia",,45,,American,Casual Dining
tgi-fridays,TGI Fridays,"New York City, New York",1965,"Dallas, Texas",,310,Nationwide,American,Casual Dining
village-inn,Village Inn,"Denver, Colorado",1959,"Nashville, Tennessee",,129,"West, Midwest, South",American,Casual Dining
benihana,Benihana,"New York, New York",1964,"Aventura, Florida",,72,,Asian,Casual Dining
huhot-mongolian-grill,HuHot Mongolian Grill,"Missoula, Montana",1999,"Missoula, Montana",,70,"Midwest, Mountain West",Asian,Casual Dining
kona-grill,Kona Grill,"Scottsdale, Arizona",1998,"Scottsdale, Arizona",,40,,Asian,Casual Dining
nobu,Nobu,"Los Angeles, California",1987,"Los Angeles, California",,19,,Asian,Casual Dining
pf-changs,P.F. Chang's,"Scottsdale, Arizona",1993,"Scottsdale, Arizona",,209,Nationwide,Asian,Casual Dining
roys,Roy's,"Honolulu, Hawaii",1988,"Dallas, Texas",,27,,Asian,Casual Dining
green-elephant-vegetarian-bistro,Green Elephant Vegetarian Bistro,"Portland, Maine",2007,"Portland, Maine",,2,New England,Asian,Casual Dining
bar-louie,Bar Louie,"Addison, Texas",1990,"Addison, Texas",,69,,Bar/Brewpub,Casual Dining
beef-o-bradys,Beef 'O' Brady's,"Brandon, Florida",1985,"Brandon, Florida",,133,"Southeast, Midwest",Bar/Brewpub,Casual Dining
hopcat,HopCat,"Grand Rapids, Michigan",2008,"Grand Rapids, Michigan",,17,"Midwest, Florida",Bar/Brewpub,Casual Dining
millers-ale-house,Miller's Ale House,"Jupiter, Florida",1988,"Orlando, Florida",,97,"East, Nevada",Bar/Brewpub,Casual Dining
twin-peaks,Twin Peaks,"Lewisville, Texas",2008,"Addison, Texas",,87,"South, Midwest",Bar/Brewpub,Casual Dining
yard-house,Yard House,"Long Beach, California",1996,"Orlando, Florida",,81,Nationwide,Bar/Brewpub,Casual Dining
dennys,Denny's,"Lakewood, California",1953,"Spartanburg, South Carolina",,1487,Nationwide,Breakfast,Casual Dining
first-watch,First Watch,"Pacific Grove, California",1983,"University Park, Florida",,435,,Breakfast,Casual Dining
ihop,IHOP,"Los Angeles, California",1958,"Glendale, California",,1657,Nationwide,Breakfast,Casual Dining
original-pancake-house,The Original Pancake House,"Portland, Oregon",1953,"Portland, Oregon",,144,Nationwide,Breakfast,Casual Dining
perkins-restaurant-bakery,Perkins Restaurant & Bakery,"Cincinnati, Ohio",1958,"Memphis, Tennessee",,290,,Breakfast,Casual Dining
waffle-house,Waffle House,"Avondale Estates, Georgia",1955,"Norcross, Georgia",,1950,Southeast,Breakfast,Casual Dining
bahama-breeze-island-grille,Bahama Breeze Island Grille,"Orlando, Florida",1996,"Orlando, Florida",,43,Nationwide,Carribean,Casual Dining
jimmy-buffetts-margaritaville,Jimmy Buffett's Margaritaville,"Key West, Florida",1977,"Orlando, Florida",,23,Nationwide,Carribean,Casual Dining
buffalo-wild-wings,Buffalo Wild Wings,"Columbus, Ohio",1982,"Sandy Springs, Georgia",,1212,,Chicken,Casual Dining
hooters,Hooters,"Clearwater, Florida",1983,"Atlanta, Georgia",,303,,Chicken,Casual Dining
hurricane-grill-wings,Hurricane Grill & Wings,"Fort Pierce, Florida",1995,"West Palm Beach, Florida",,71,,Chicken,Casual Dining
kers-winghouse-bar-grill,Ker's WingHouse Bar & Grill,"Largo, Florida",1994,"Orlando, Florida",,28,,Chicken,Casual Dining
melting-pot,The Melting Pot,"Maitland, Florida",1975,"Tampa, Florida",,96,,European,Casual Dining
mimis-cafe,Mimi's Cafe,"Anaheim, California",1978,"Dallas, Texas",,48,,European,Casual Dining
olgas-kitchen,Olga's Kitchen,"Birmingham, Michigan",1970,"Livonia, Michigan",,27,"Michigan, Illinois",European,Casual Dining
islands,Islands,"Los Angeles, California",1982,"Irvine, California",,45,"West, Hawaii",Hamburgers,Casual Dining
johnny-rockets,Johnny Rockets,"Los Angeles, California",1986,"Wilbraham, Massachusetts",,131,Nationwide,Hamburgers,Casual Dining
max-ermas,Max & Erma's,"Columbus, Ohio",1972,"Columbus, Ohio",,51,,Hamburgers,Casual Dining
red-robin,Red Robin,"Seattle, Washington",1969,"Greenwood Village, Colorado",,531,Nationwide,Hamburgers,Casual Dining
wahlburgers,Wahlburgers,"Hingham, Massachusetts",2011,,,31,,Hamburgers,Casual Dining
chevys-fresh-mex,Chevys Fresh Mex,"Alameda, California",1986,"Cypress, California",,38,,Mexican/Tex-Mex,Casual Dining
chilis,Chili's,"Dallas, Texas",1975,"Dallas, Texas",,1234,Nationwide,Mexican/Tex-Mex,Casual Dining
chuys,Chuy's,"Austin, Texas",1982,"Austin, Texas",,96,"South, Midwest",Mexican/Tex-Mex,Casual Dining
on-the-border-mexican-grill-cantina,On the Border Mexican Grill & Cantina,"Dallas, Texas",1982,,,125,,Mexican/Tex-Mex,Casual Dining
pappasitos-cantina,Pappasito's Cantina,"Houston, Texas",1976,"Houston, Texas",,25,Texas,Mexican/Tex-Mex,Casual Dining
uncle-julios,Uncle Julio's,"Dallas, Texas",1986,,,37,,Mexican/Tex-Mex,Casual Dining
brio-tuscan-grill,Brio Tuscan Grill,"Columbus, Ohio",1992,"Columbus, Ohio",,36,Nationwide,Italian,Casual Dining
buca-di-beppo,Buca di Beppo,"Minneapolis, Minnesota",1993,"Orlando, Florida",,70,Nationwide,Italian,Casual Dining
california-pizza-kitchen,California Pizza Kitchen,"Beverly Hills, California",1985,"Los Angeles, California",,169,Nationwide,Italian,Casual Dining
carinos-italian,Carino's Italian,"Austin, Texas",1968,"Austin, Texas",,55,,Italian,Casual Dining
carrabbas-italian-grill,Carrabba's Italian Grill,"Houston, Texas",1986,"Tampa, Florida",,219,,Italian,Casual Dining
maggianos-little-italy,Maggiano's Little Italy,"Chicago, Illinois",1991,"Dallas, Texas",,54,,Italian,Casual Dining
old-spaghetti-factory,The Old Spaghetti Factory,"Portland, Oregon",1969,"Portland, Oregon",,42,,Italian,Casual Dining
olive-garden,Olive Garden,"Orlando, Florida",1982,"Orlando, Florida",,876,Nationwide,Italian,Casual Dining
romanos-macaroni-grill,Romano's Macaroni Grill,"Leon Springs, Texas",1988,"Denver, Colorado",,90,,Italian,Casual Dining
valentinos,Valentino's,"Lincoln, Nebraska",1957,"Lincoln, Nebraska",,36,"Nebraska, Minnesota",Italian,Casual Dining
bertuccis,Bertucci's,"Somerville, Massachusetts",1981,"Woburn, Massachusetts",,51,,Pizza,Casual Dining
giordanos,Giordano's,"Chicago, Illinois",1974,,,73,,Pizza,Casual Dining
happy-joes,Happy Joe's,"Bettendorf, Iowa",1972,"Bettendorf, Iowa",,61,Midwest,Pizza,Casual Dining
larosas-pizzeria,LaRosa's Pizzeria,"Cincinnati, Ohio",1954,,,66,,Pizza,Casual Dining
mellow-mushroom,Mellow Mushroom,"Atlanta, Georgia",1974,"Atlanta, Georgia",,173,Southeast,Pizza,Casual Dining
old-chicago-pizza-taproom,Old Chicago Pizza & Taproom,"Boulder, Colorado",1976,"Broomfield, Colorado",,83,,Pizza,Casual Dining
rosatis-authentic-chicago-pizza,Rosati's Authentic Chicago Pizza,"Chicago, Illinois",1926,"Elgin, Illinois",,200,,Pizza,Casual Dining
shakeys-pizza,Shakey's Pizza,"Sacramento, California",1954,"Alhambra, California",,500,,Pizza,Casual Dining
uno-pizzeria-grill,Uno Pizzeria & Grill,"Chicago, Illinois",1943,"Boston, Massachusetts",,83,,Pizza,Casual Dining
souper-salad,Souper Salad,"Houston, Texas",1978,"Dallas, Texas",,25,Southwest,Salad,Casual Dining
maid-rite,Maid-Rite,"Muscatine, Iowa",1926,"Urbandale, Iowa",,32,,Sandwiches,Casual Dining
bonefish-grill,Bonefish Grill,"St. Petersburg, Florida",2000,"Tampa, Florida",,185,Nationwide,Seafood,Casual Dining
bubba-gump-shrimp-company,Bubba Gump Shrimp Company,"Monterey, California",1996,"Houston, Texas",,23,Nationwide,Seafood,Casual Dining
eddie-vs-prime-seafood,Eddie V's Prime Seafood,"Austin, Texas",2000,"Orlando, Florida",,26,"Southwest, Texas, Florida",Seafood,Casual Dining
joes-crab-shack,Joe's Crab Shack,"Houston, Texas",1991,"Houston, Texas",,46,,Seafood,Casual Dining
landrys-seafood,Landry's Seafood,"Katy, Texas",1980,"Houston, Texas",,20,,Seafood,Casual Dining
legal-sea-foods,Legal Sea Foods,"Cambridge, Massachusetts",1968,"Boston, Massachusetts",,23,,Seafood,Casual Dining
mccormick-schmicks,McCormick & Schmick's,"Portland, Oregon",1979,"Houston, Texas",,44,,Seafood,Casual Dining
ocean-prime,Ocean Prime,"Troy, Michigan",2008,,,17,,Seafood,Casual Dining
pappadeaux-seafood-kitchen,Pappadeaux Seafood Kitchen,"San Antonio, Texas",1993,"Houston, Texas",,40,,Seafood,Casual Dining
red-lobster,Red Lobster,"Lakeland, Florida",1968,"San Francisco, California",,670,Nationwide,Seafood,Casual Dining
bill-miller-bar-b-q,Bill Miller Bar-B-Q,"San Antonio, Texas",1953,"San Antonio, Texas",,76,,Barbeque,Casual Dining
copelands,Copeland's,"New Orleans, Louisiana",1983,,,20,Southeast,Barbeque,Casual Dining
cracker-barrel,Cracker Barrel,"Lebanon, Tennessee",1969,"Lebanon, Tennessee",,664,Nationwide,American,Casual Dining
dickeys-barbecue-pit,Dickey's Barbecue Pit,"Dallas, Texas",1941,"Dallas, Texas",,484,,Barbeque,Casual Dining
famous-daves,Famous Dave's,"Hayward, Wisconsin",1994,"Minnetonka, Minnesota",,115,Nationwide,Barbeque,Casual Dining
grandys,Grandy's,"Nashville, Tennessee",1972,"Nashville, Tennessee",,38,"South, Midwest",Barbeque,Casual Dining
lucilles-smokehouse-bar-b-que,Lucille's Smokehouse Bar-B-Que,"Signal Hill, California",1999,"Long Beach, California",,24,Southwest,Barbeque,Casual Dining
pappas-bar-b-q,Pappas Bar-B-Q,"Houston, Texas",1976,"Houston, Texas",,19,,Barbeque,Casual Dining
red-hot-blue,Red Hot & Blue,"Memphis, Tennessee",1989,"Winston-Salem, North Carolina",,15,"Mid-Atlantic, Midwest, Texas",Barbeque,Casual Dining
smokey-bones,Smokey Bones,"Orlando, Florida",1999,"Aventura, Florida",,61,East,Barbeque,Casual Dining
sonny-bryans-smokehouse,Sonny Bryan's Smokehouse,"Dallas, Texas",1958,"Dallas, Texas",,3,Texas,Barbeque,Casual Dining
sonnys-bbq,Sonny's BBQ,"Gainesville, Florida",1968,"Maitland, Florida",,92,Southeast,Barbeque,Casual Dining
black-angus-steakhouse,Black Angus Steakhouse,"Los Altos, California",1964,"Los Angeles, California",,45,,Steakhouse,Casual Dining
capital-grille,The Capital Grille,"Providence, Rhode Island",1990,"Orlando, Florida",,63,Nationwide,Steakhouse,Casual Dining
claim-jumper,Claim Jumper,"Los Angeles, California",1977,"Houston, Texas",,30,,Steakhouse,Casual Dining
del-friscos-double-eagle-steak-house,Del Frisco's Double Eagle Steakhouse,"New York City, New York",1981,"Houston, Texas",,16,,Steakhouse,Casual Dining
flemings-prime-steakhouse-wine-bar,Fleming's Prime Steakhouse & Wine Bar,"Newport Beach, California",1998,"Tampa, Florida",,64,,Steakhouse,Casual Dining
fogo-de-chao,Fogo de Chão,"Porto Alegre, Brazil",1979,"Plano, Texas",,48,,Steakhouse,Casual Dining
logans-roadhouse,Logan's Roadhouse,"Lexington, Kentucky",1991,"Nashville, Tennessee",,136,,Steakhouse,Casual Dining
longhorn-steakhouse,LongHorn Steakhouse,"Atlanta, Georgia",1981,"Orlando, Florida",,551,,Steakhouse,Casual Dining
montana-mikes,Montana Mike's,"Round Rock, Texas",1966,"Round Rock, Texas",,80,,Steakhouse,Casual Dining
mortons-the-steakhouse,Morton's The Steakhouse,"Chicago, Illinois",1978,"Houston, Texas",,55,Nationwide,Steakhouse,Casual Dining
outback-steakhouse,Outback Steakhouse,"Tampa, Florida",1988,"Tampa, Florida",,694,Nationwide,Steakhouse,Casual Dining
ponderosa-bonanza-steakhouses,Ponderosa Bonanza Steakhouses,"Kokomo, Indiana Westport, Connecticut",1963 1965,"Plano, Texas",,75,,Steakhouse,Casual Dining
ruths-chris-steak-house,Ruth's Chris Steak House,"New Orleans, Louisiana",1965,"Winter Park, Florida",,129,,Steakhouse,Casual Dining
saltgrass-steak-house,Saltgrass Steak House,"Houston, Texas",1991,"Houston, Texas",,96,Nationwide,Steakhouse,Casual Dining
texas-de-brazil-churrascaria,Texas de Brazil Churrascaria,"Addison, Texas",1998,"Dallas, Texas",,51,,Steakhouse,Casual Dining
texas-roadhouse,Texas Roadhouse,"Clarksville, Indiana",1993,"Louisville, Kentucky",,596,,Steakhouse,Casual Dining
tony-romas,Tony Roma's,"North Miami, Florida",1972,"Orlando, Florida",,150,,Steakhouse,Casual Dining
sizzler,Sizzler,"Culver City, California",1958,"Mission Viejo, California",,86,,Steakhouse,Casual Dining
western-sizzlin,Western Sizzlin',"Augusta, Georgia",1962,"Roanoke, Virginia",,54,,Steakhouse,Casual Dining
chuck-e-cheese,Chuck E. Cheese,"San Jose, California",1977,"Irving, Texas",,477,Nationwide,Pizza,Arcade/Games
dave-busters,Dave & Busters,"Dallas, Texas",1982,"Dallas, Texas",,142,Nationwide,Bar/Brewpub,Arcade/Games
peter-piper-pizza,Peter Piper Pizza,"Glendale, Arizona",1973,"Phoenix, Arizona",,149,"West, Florida",Pizza,Arcade/Games
topgolf,Topgolf,"Watford, United Kingdom",2000,"Dallas, Texas",,67,,American,Arcade/Games
